问题,回答内容,IP归属地,赞同数
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","近20年教龄的大学老师来聊聊这个话题。

1.不知道大家有没有听过旧金山的故事？

1848年1月，木匠詹姆斯·马歇尔在加利福尼亚萨克拉门托河畔发现了黄金，消息经报纸、商船扩散全球，形成“淘金神话”。消息一经证实，引发了史无前例的全球移民潮。欧洲农民、美洲拓荒者、中国破产农民等，将淘金视为跨越阶层的捷径。

第一批去的人，确实掏到了金子。淘金热创造短期的财富幻觉，越来越多的人前往旧金山，幻想通过淘金解决各种问题。可金子就那么多，但人却越来越多。短短三年时间，去旧金山的人多了几百倍。

那后来去的人肯定没有淘到金子。一是金子没那么多。二是表层的金子被挖光了，靠个人淘金者无法挖到深层的金子，所以慢慢的个人淘金者就被资本化矿业公司所替代。

那没挖到金子的人也得想办法谋生活下去呀。在这个故事的简化版本里，有说一开始掏不到金子的人转行卖镐子和牛仔裤给去淘金的人，慢慢的也发财了。

当然，卖镐子和牛仔裤应该是确有其事，而除了卖镐子和牛仔裤一样也催生了其他的行业。比如，为矿工提供洗衣、餐饮（中餐馆雏形）、住宿服务，有些劳工参与修筑太平洋铁路西段，还有些人在中央谷地开垦沼泽，建立蔬果农场供应城市等等等等。

从一开始挖金子，到后来挖不到金子。大概也就是一拥而上，一哄而散这么个过程。

2.人工智能专业是不是就是另外一个旧金山挖金子的故事？

这种专业泡沫或者行业泡沫在我的职业生涯中已经见过好多了。

在我01年上大学的时候，也是有各种各样的冒火专业，火都能窜上天的那种。后来……后来这些专业可能你们现在都不在意了。比如，法学，生物工程，物联网等等。

有个好玩的故事，是关于石墨烯的。2010年石墨烯因为它各方面的超级性能，获得了诺贝尔奖。这一下子，这个材料在全球火了起来。资本的嗅觉很灵敏，察觉到了石墨烯里的商机，开始不断投（ya）资（zhu）。一时间，比石墨烯更好的题材故事没地方找了。

资本不断投资石墨烯，制造石墨烯，神话石墨烯。一时间，各种妖魔鬼怪都涌入石墨烯行业。而商业上，什么产品不带点石墨烯的概念都感觉对不起自己。

各地各种石墨烯的商业会议召开，各种大佬为石墨烯站台，其中不乏Top2的一些Y士。我在2016年参加过一个在国内召开的石墨烯国际会，给我的感觉是这帮人疯了。其实那个时候，最大的石墨烯也不过能做到小指甲那么大，再大就没有了。根本无法像三体里描述的一样，做成太空电梯。到现在石墨烯也并非像当初泡沫里吹的那样无所不能，也仅仅只是在特定的地方发挥了作用。

但资本不在意，在一级市场把这事一棒一棒击鼓传花的传下去，资本就能在一级市场里赚到钱。至于这个东西是不是真的有说的那么神奇，是否符合市场规律，在每个题材刚开始的时候，资本是不在意的。看看OFO共享单车，看看当年贾跃亭的乐视，看看当年的P2P理财……每一个到后面都是一地鸡毛。

人工智能行业在当前局势大概也是这个状态。整个逻辑闭环应该是这样的：

因为前景好，所以资本看好，钱往这个行业涌入→

因为人才缺口大，所以高薪抢人，能有年薪百万的岗位也不奇怪→

因为有高薪，所以很多都想学人工智能专业→

因为很多人想学，所以高校为了招生方便，就开了这个专业→

因为这个专业的人越来越多，资本和企业有选人的余地了，于是薪水降下来了。

所以总有一天，喧闹会重归平静。

3.人工智能专业会沦为另外一个天坑专业吗？

那肯定不会！

记住，大学专业的发展以行业的发展为依据。

每个新兴行业的发展大都遵循一个规律，通常可以用“技术成熟度”曲线来判断：

第一阶段：技术萌芽期，其突破性概念引发媒体关注，如最初生成式AI（如ChatGPT）的出现。

第二阶段：期望膨胀期，资本狂热涌入，概念炒作达到顶峰。

第三阶段：泡沫破裂谷底期，市场信心崩塌，劣质项目淘汰出清。

第四阶段：稳步爬升光明期，技术实用性被验证，企业级应用落地，商业模式清晰化。

第五阶段：生产成熟期，技术成本降低，广泛嵌入社会生活，市场格局固化。

我不是人工智能圈子里的人，接下来的内容可能说的不准。给我的感觉是目前人工智能行业处于期望膨胀期。ChatGPT出来一下子火了，我试了一下，确实好玩也好用。但是ChatGPT要科学上网才能用，而且对中文资源的整合力貌似也没那么强。当时对AI绘画也感兴趣，但ChatGPT要付费才能画，价格还不便宜。

后来国内各种各样的生成式AI也不断。我为了工作能提（jiu）高（shi）效（chang）率（xian），看到科大讯飞的AI鼠标就买了。号称有个免费的AI，能录音转文字（讯飞老本行），还能做PPT，能绘画。我一下子心动了，花了499个大洋，把这个鼠标买了回来。这一下子，搞科研不得嗖嗖快了！

用了后才知道几件事：科大讯飞的星火大模型是真的不好用……生成的PPT提纲有点脑残……绘画更是不行，只能生成一张分辨率很小的简易图片。还有个脑残设计，这款产品赠了个鼠标垫，上面有个可以接USB电源的地方，然后放在那个地方可以无线充电，可以充鼠标！USB线都过来了，我直接插鼠标上不行吗？还能一边办公一边充电，要是放在那个地方，我就只能朝鼠标拜拜烧香了。无线充电慢，我这一时半会是无法办公了。就是下图上的那款鼠标。当然，当时买的时候没有提送鼠标垫的事，大不了我不用。不过，录音转文字功能还是挺好用的，毕竟这是科大讯飞老本行。

直到今年年初属于中国的deepseek出现，国民对AI的情绪是涨到了天上。我肉眼所见的大厂都做了自己的AI，而肉眼所见到的软件都接入了AI，还得是deepseek大模型的。就连有自己AI的百度，也宣称接入了deepseek。各行各业发现了AI的优势和商机，都疯狂的涌进这条赛道。资本也在大量投注，希望能抢跑，跑到前面去，才能抢到更好的资源。

各种培训班，培训机构都在卖课，教你怎么用AI，或者更直接点教你怎么用AI赚钱。你看，这像不像卖镐子和牛仔裤的人？

各行各业都开始贴上AI的标签，什么事都可以沾点AI，而且什么乱七八糟的都有。比如AI算命，AI看风水，AI女友……就像当初石墨烯一样，不沾点石墨烯，就感觉商品就卖不出去一样。泡沫还是不小的。但各个行业里不纯靠概念，要和AI结合，总归需要一些AI人才的。所以，又回到了上面第二个问题。因为行业里的需求大，所以人才紧缺。

放到高校层面，因为高校本身是有培养人才的职责的。面对社会需要的人才，自然也要肩负起培养的重任。

只不过，我自己就在高校工作，一下子看到那么多人工智能专业涌现，我觉得也是有点搞笑的。

一个专业的组建，至少需要对应的硬件和对应的师资。但要准备这些东西，并不是那么容易的。所以，对于相当一部分学校来说，可能都是为了完成zz正确的任务，甚至就是把计算机专业的课程换几门，改个名字。这样有了新专业，即能招生，又能拿教育拨款。至于，四年后，这个专业培养的人才是否会过剩，那并不是某些屁股指挥脑袋的人会考虑的。

所以，想学这个专业。我的建议是一定要挑好学校去学，至少是计算机专业本科教育评估在B以上的学校。只有起码这个等级以上的学校，我想才有能力在那么短的时间内，组建这个专业的。不然，就尽可能谨慎对待吧。

四年后，人才会不会过剩？那我也不知道。

按照人类社会的科技发展大趋势来说，AI会越来越深度绑定我们的生活，未来我们会越来越离不开AI给我们的帮助，AI可以完成越来越多的人类劳动。

而这个行业，也最终会发展到一个稳定的状态。未来出生的人，从小就会习惯AI的存在。而面对AI这个行业各种各样的事情，AI人才依然会被需要。就像现在的水电师傅一样，不热门，但人们的生活还真离不开他们。

所以，人工智能专业未来薪水大概率会降下来，但绝对不会成为新的天坑专业。

我是夏夏回来了，一个在高校工作了很多年的博士，担任多个SCI期刊的编辑编委，擅长研究生培养和SCI论文写作发表，你的点赞、收藏和关注是对我最大的支持！","未知","181"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","实际就是人工智能毕业都去了java，然后人工智能的本科课程还没有java




先说我的结论：人工智能专业挺好的，但是大概率不会从事人工智能相关工作。

人工智能专业也属于电子信息类，就我们院来说，人工智能专业电子电路通信信号等等都学，软件方面数据结构数据库等等也学，未来就业面还是比较宽的，可以从事软硬件工程师，但是真的去做ai大模型几乎不可能，那些个做大模型的基本上都是985本硕博的人才。

-----------------------------

很多公司应聘对专业一般不会限制那么多，岗位都是电子信息类、计算机类、数学类、物理类等等都能去应聘，最后谁能上看自己能力的。

归根到底，还是看院校档次和个人就业倾向，院校档次高个人觉得选人工智能专业挺好的，毕竟人工智能学的比较宽，就业或者考研都选择更大。但是想考公的话网络工程是计算机类岗位比较多。




只要肯学习就不至于天坑

人工智能是一个领域，每个方向之间的差距很大的，有的学校在计算机学院偏向于软件，有的在自动化学校偏向于硬件，甚至有的在通信学院。

所以我建议本科学个纯一点的专业，比如cs，自动化，通信工程啥的。可以去网上的开源资料上学最新的那些人工智能相关的东西，这点其实大部分学校都没网上的老师，资料教的好。

最后可以硕博选一个方向搞人工智能。不过如果分不高选这个也可以，大部分非顶级高校没有那种人工智能的特殊班，分都不太高。

-----------------------------

本科计算机会给未来机会走广，另外本科阶段学好线代，概统，机器学习，深度学习，数据结构，优化算法，搜索算法，可以让研究生上手很轻松。

还有就是学习ai相关的，最重要的就是时刻与世界接轨，看最新的研究成果和最新的各种工具。




对人工智能感兴趣的话记得时刻关注最新的工具

如果未来想从事算法岗的话，目前已经非常卷了，接下来要么已经开始走下坡路，要么卷出天际。

而且不止是要学的内容，各种前沿的技术和最新的大模型、工具都得关注下的；

像前些日子OpenAI的一系列发布会，不说还没出来的o3吧，o1 pro也得去了解，时刻注意最新的AI很重要。







另一个就是垂直方向的AI了，也就是AI具体功能应用的领域。开发寻找合适的方向很重要，毕竟不是所有人都懂得怎么提问AI，反复寻找合适的描述语句的。

所以才需要更简单易用的工具，像迅捷PPT这种，在网页上输入你的PPT要求，再选个模板就能直接生成整份完整PPT，这样没使用难度的工具更好让人接受，也是今后AI发展的一个方向。







还有国内的大模型也得关注，当然更多看你想去哪里发展就职，不想出国的话国内的可以关注下，只是不要一股脑盯着大厂，大厂太难了；

因为你现在去各个招聘软件上看看，搞大模型需要的都是5年以上经验的老手，压根不想花任何成本去培养应届生。







人工智能真的很卷，像claude逻辑能力强的不行，要不是封号多国内用着不方便，很多小厂都没机会发展。

别看工资开的高，绝大多数人连踏入这个行业从底做起的机会都没有，现在一窝蜂的报考这个专业，4年后恐怕AI助理工程师都抢不到。




现在只能说高校太追求热门专业了……可能是养老师+给老师打工用的。

感觉人工智能就不该本科开，我觉得就算985/211，本科阶段能真学到人工智能的不多，本来就是个计算机或者数学研究生的方向，非得放到本科教育……

有这精力不如改改那些计算机课程，感觉上课还不如我自学黑皮书效果好。","未知","73"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","随着这两年人工智能的“大火”，类似这样的“新闻”势必会甚嚣尘上。

只是“人工智能”以后会不会沦为新的天坑我不知道，但至少，现阶段，这个专业以及它的“近亲”们，仍然是高校各专业的就业率“王者”。

正是因为人工智能、计算机科学与技术、软件工程、信息工程这些专业们每年的就业率都在学校里“名列前茅”，所以才会引起大家的担忧：未来它们会不会不再这么好找工作了啊？

君不见，那些真的“天坑”，谁会每年“嗷嗷”对外叫嚣着自己的“真实”就业率……

不过吧，人工智能专业毕竟是一个比较新的专业，各校设置这个专业的“初衷”不太一样。

有些学校觉得这是个“技术性”很强的专业，培养目标以算法研发、系统开发为核心，比较强调工程实践与产业对接。

比如清华大学、西安电子科技大学、哈尔滨工业大学等等工科见长的学校，核心课程包括机器学习、计算机视觉、自然语言处理、分布式计算等“硬核”课程。

你要是问这些课程好学吗？

废话，当然不好学啊！

作为学科评估中的佼佼者们，要是随便水一水就能毕业，岂不是很没面子。

不过我觉得比这些“技术为尊”的学校更不好学的，是这些以“数学为主”的学校们。

比如北大的“通班”和“智班”，比如中国科学技术大学的“人工智能与数据科学学院”，看看它们的专业基础课程何其相似：

很明显，这些学校的目标是“聚焦底层算法的创新”，希望培养一些以“算法见长”的人才。

要问这类学校的人工智能好不好学，可以认真考虑一下自己的数学水平，不喜欢数学的话，学起来应该会相当痛苦……

第三种我认为可以算是与其他学科有“交叉”的人工智能学院，比如浙江财经大学的人工智能专业，就会强调人工智能与经管专业的交叉，课程中也会有一些金融类课程的设置：

比如上海大学的人工智能专业除了学习本专业的课程外，还会有一些为了培养“复合人才”而设置的课程：

除了这些“正经”的人工智能专业外，还有好多学校设置了似乎跟人工智能“沾点亲”的专业：

只是并非带上“智慧”或“智能”的专业就都是人工智能专业的“亲戚”，有些可能只是天坑上面铺了块漂亮的板子，踩中就会掉进去……

至于说本科毕业不容易找到好工作，需要再读一个硕士甚至博士才能拿高薪……现在哪个专业又不是呢？

更扎心的是，很多专业即使读了硕士和博士，仍然拿不到高薪……

所以从这个角度上来说，我着实觉得人工智能专业称不上“坑”。只要好好修炼“内功”，就业前景还是比较明朗的。","未知","33"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","突然想起一句话，

就是大热必死，全国一共专本科院校接近3000所，看来是超过1/6学校成立了这个专业，那么这个专业得出来多少人？

二十年前那句，二十一世纪是生物的世纪，你看看多少学校新开了生物专业？

同样，人工智能专业也开始了大浪淘沙，方向是好，专业是好，但是这么多人，有多少是真金子，有多少是炉灰，这就没办法去看，只能让时间证明了。

我们还是先看看新闻，

我随便在百度，查找人工智能学院.看看下面的学校，大概查了下这几个学校的人工智能学院，无非就是之前的计算机学院改的，

南宁职业技术大学应该是刚刚上本科的吧？2024年之前的一个专科院校，现在也在搞人工智能，

让我想起来，

我的老本行，应用生物技术，应用生物科学，生物技术，生命科学，

这些乱七八糟名字之下，都是那一波老师，一波人，生物学的老师，系名字加了应用生物技术了，这些老师就懂技术？就知道该如何应用拉？

同理，一帮计算机学院的老师，换了个皮，就懂智能了？就知道人工了？







所以回到教育的本质和核心矛盾根本：炉灰与真金的区别，不在专业名头，而在教育沉淀。

那些培养出顶尖人物（人工智能行业，年薪百万）的院校已经做好了时代的考验，

一窝蜂的中档学校，双非一本，甚至专科，靠改名突击“智能”时；

和当当年生物系改应用生物技术、发酵专业改成生物制药，计算机系改AI学院的戏码重演时——

我们该警惕的不是技术泡沫，而是教育投机。

时间终会筛出真金，只是代价可能是整整一代“炮灰”。","未知","146"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","按照我个人对于天坑专业的定义，天坑专业必须符合两大条件。

第一，这个专业毕业后的就业非常不好，从就业环境到薪资待遇，再到发展前景，一样都不占！

第二，这个专业毕业后就业不好这个事实，大部分人都不知道，甚至还有一定的反向迷惑性，给人一种这个专业就业很好，至少未来的就业前景非常好的错觉，因此导致了这个专业的录取分数线相对比较高。

大部分人口中的所谓天坑专业只符合第一个条件，却根本不符合 “大部分人不知道它就业不好，反而以为它就业很不错，录取分数还很高” 这个条件。

这就是我说的，就业不好，并且众所周知这个专业就业不好，同时因为众所周知这个专业就业不好，导致了这个专业录取分数线还比较低。

这不叫天坑专业，这叫做就业冷门专业，烂专业。

生化环材在十年前，二十年前，属于典型的天坑专业。

因为在2000年左右的世纪之交，21世纪是生物的世纪是媒体报道的大热门，各个高校的生物学院纷纷跟风改名生命科学学院，录取分数也是一飞冲天，很多地方的高考状元都选了生物专业。

据说张一鸣当年在选定了南开大学后，也报考了生物专业，但因为分数不够，被调剂到了微电子专业，后来又转专业去了软件工程专业。

那个年代，生物才是第一热门专业，计算机只是一个普通的工科专业，被机械土木建筑化工这些传统工科吊打，而软件工程则是当年新成立的，很多高校为了圈钱的存在。

但生物的热门，完全是吹出来的，等毕业后找不到工作这个事实也都被很多人知道后，生物的高分神话瞬间就破了。

后来材料化工和环境，机械土木又短暂地接过生物的神话角色，但也很快就破灭了。

因为就业是事实，骗不了人，当所有人都看清这些吹出来的神话的就业垃圾本质后，他们的高分录取神话也就破灭了。

因此，单纯就业差，并且是众所周知的就业差，不能算天坑专业，你一开始就知道这专业就业差，又何来坑了你呢？

你自己选的，就别抱怨别人坑了你了！

而现在，按照我的这个定义，最可能符合天坑专业定义的，还真的就只有人工智能这个专业最接近。

因为很多高校都开始跟风开设这个专业，并且整个社会都把人工智能专业吹成未来的第一显学了，也都认为它的就业会很好。

但跟当年的生物不同的是，生物专业毕业面临的是结构性失业，而人工智能专业的就业是呈现了极高的多样性的。

既有符合人们预期的，既有前途，又薪酬待遇很高的高薪岗位，也有大把毕业找不到工作的。

这主要还是因为，这个专业本身比较模糊，涵盖的范围很广，而真正比较贴近的方向，一方面是本科学生还没能力去学，另一方面是很多高校不具备这个教学资源。

只是随便拉几个老师，开几门课程，就定义为人工智能专业了。

还是那句话，985级别高校的王牌计算机专业分出来的人工智能硕博专业，是人工智能专业。

跟风二流地方院校，随便开设的人工智能本科专业，是伪人工智能专业。

这也很好解释了，当年电子商务是互联网一大显学，很多人靠电子商务财富自由，但同时还有一大批交了巨额学费，去大专，民办三本高校学了电子商务专业的学生，毕业就失业了。

生化环材除了考研，本科毕业还有其他出路吗？
106 赞同 · 12 评论回答
生化环材土木水利这些老天坑专业，就业形势有没有好转？
43 赞同 · 5 评论回答","未知","102"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","大概率会的，而且，热潮过后，天坑的概率甚至要远远高于百万年薪的概率。

首先，人工智能是未来十年甚至几十年的热点领域，也是大批量产生高收入群体的创新高增长领域，这大概是没什么争议的。

但是，不要只看到热点和高收入，却忽视了热点和高收入背后所必需的核心竞争力。

热点需要与之相匹配的能力才能够踏踏实实的踩中，而高收入则需要切实的创造价值才是可持续的。

那么，第一个问题：人工智能确实是未来的热点，但它热在哪里呢？

是热在每个企业都需要用到人工智能，还是每个企业都需要自己去开发人工智能呢？

用到和开发，这两者是有着本质的区别的。

用到的，通常是工具，更准确的说，是由别人构建和开发好的工具。

而开发，则需要每个行业乃至每个企业都能够自行构建和创造自己的人工智能体系。

这就好比，挖金子的跟做铲子的，在掘金时代，确实需要很多铲子，做铲子也确实有可能赚大钱。

但是，人人都要用铲子，却并不需要每个人自己都会做铲子，这样完全不具备比较优势。换句话说，掘金时代并不需要那么多会做铲子的人才，只有少量的做铲子的人才能赚大钱。

人工智能的使用和开发，也是同样的逻辑。

毫无疑问，未来大部分的行业或企业，都一定要用到人工智能。然而，是不是是每个行业或者企业，都需要自己开发人工智能呢？

未来的人工智能，究竟是铲子，亦或者其本身就是金子？这个问题见仁见智。

但是，就目前所见人工智能的开发难度和开发资源来说，每个企业都开发自己的人工智能，成本太高，收益太低。

换言之，这样做并不具备比较优势。

就拿现在市场上流行的AI应用来说，chatgpt一出现，国内的大厂们都闻风而动，纷纷推出自己的AI应用，从kimi到文心一言，再到豆包等等，都有自己的特点，也都能吸引不少的用户尝鲜。

然而，免费且开源的deepseek横空出世，瞬间就吸引了绝大多数国内用户的关注，甚至每月花几十美元买的chatgpt账号都有点不香了……

就目前所见，人工智能应用的开发，很大概率是一场赢家通吃的游戏，顶尖的应用可以占据大部分的市场份额，然后由少数企业为大多数企业提供配套的AI工具和服务。

而具体到不同行业里的每个企业，自己开发AI体系不是不可以，但大概率并不具备成本和效率优势，短期内或许会有为数众多的企业参与AI开发博弈，但市场会很快筛掉没有成本和效率优势的大部分企业。

换言之，短期内，或许会因为大量的企业参与初期AI竞争，而吸纳为数众多的AI开发人才，但市场竞争会快速淘汰掉不具备竞争力的市场主体，AI开发方向的人才需求会迅速回归小而精的整体态势。

由此推之，大概率的情况下，AI未来的发展情境，将会是在若干细分赛道中，快速筛选出各自的领域龙头，然后遵循马太效应，占据优势的企业越来越强，而弱势企业迅速淘汰……

那么，回归到问题本身，五百多个高校都开设人工智能专业，先不讨论它们各自是否有能力构建AI时代所需的知识体系，就这么多所高校每年培养的大量毕业生，有多少能真正胜任各个赛道内顶尖企业的开发需求呢？

百万年薪确实会存在，但小而精的发展逻辑下，就若干赛道中那么几家顶尖AI开发企业，似乎并不需要五百多个高校供应人才……

那么，再进一步，第二个问题：不开发AI，总要使用AI吧，既然绝大多数企业都要使用AI，那岂不是依然需要大量的AI人才？

然而，会使用AI的人才，与能开发AI的人才，并不是同一个概念。

举个例子，现在非常多的企业岗位，都需要会使用外语，比如英语。但是，又有多少企业，会去外语学院招英语专业的毕业生呢？

换个角度，假如一个生物医药企业，需要AI辅助开发产品，它会招一个人工智能专业完全不懂生物的毕业生？还是会招一个生物医药专业的但会用AI的毕业生？

投资银行，需要AI辅助做科技领域的行业研究，那他们会招一个人工智能专业的人来开发AI？还是招一个理工科专业的来用AI？或许，两者都需要，但开发AI和使用AI，两者哪个才是长期需求，哪个又是短期需求呢？

当然，以上都是预测，没有标准答案，但每个人都会有自己的判断……
然后，每个人都需要基于自己的判断，为自己的选择负责，仅此而已。","未知","46"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","人工智能可不是阿猫阿狗都能学的。

做不过开源模型，就学了个寂寞。

直接拿开源模型微调自家数据集，需要的能力和人工智能专业教的还真不一样。","未知","58"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","从业内的角度简单说一下吧。

首先说人工智能肯定是个热点赛道，毫无疑问。

然后要说但是了。

但是的就是：人工智能的用人量其实很少。

核心的“年薪百万”岗位确实不多。

倒是需要大量做标注的。

这个活谁干谁知道，技术含量比过去打字员的技术含量都低。

就更别提和做java的比了……

大家热议的人工智能“赛道”，其实更多是泛赛道。

比如说AI在各个行业中的落地。

那么又要说但是了。

但是泛赛道和人工智能关系不大。

因为你学习使用AI工具，理论上俩小时就会了，根本没有门槛。

人工智能泛赛道，关乎的是你所做的具体行业。

也就是说对行业经验的要求更高。

这和人工智能有关系，但真不大。

你能识别出业务落地部分与AI结合的部分，才是核心价值。

只有贩卖焦虑的人会告诉你去买他的课程。

其实他自己八成也不懂，网上整合一下资料就出来卖课了。

我认识不少人报AI课程，学费过万，我心想怎么这么贵呢？

结果一看课程，从概率到统计学、从专家模型到贝叶斯、随即森林、回归……

最终犹抱琵琶半遮面的，讲了一点深度学习和框架。

外行不懂这些，容易被忽悠。

像我当时就琢磨，AI对于外行来说，需要教的东西不多，也没有门槛，根本凑不满课时，于是就把上一代专业技术人的课程拿过来教你了。

其实大多数人都不会学的。

这就好比你想吃一碗大米饭，他们教你怎么从插秧开始种水稻……

我只能告诉你，AI火了以后，最赚钱的除了AI核心岗，只有卖课的和卖梯子的赚钱了……大多数人天天研究，最后一分钱没赚。","未知","50"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","人工智能这个方向，越往后越像如今的量化投资行业，头部吃遍天下，剩下的再搞都没啥意思，汤汤水水都未必喝的到多少。现在领域内颇有一种大模型以外任何研究都不具备意义的味道，虽然目前基于自回归的大模型大概率不是agi最终答案，但是不管最后是什么应该都脱离不了大规模训练。用不了大集群，没有业内行家指导，没有先人一步甚至多步的学术视野或者嗅觉，自己脑子不够灵，都没法做到笑到最后。这可远不是发几篇会 几篇刊 拿到个985 211教职就够了的。最强的人 基本在头部企业里 而非高校。","未知","42"
"离百万年薪最近的人工智能专业，会沦为新的天坑专业吗？","其实从业人员都知道。。

人工智能就是一个赌博游戏。。

远的不说，就说，著名的“AI四小龙”——商汤科技、旷视科技、依图科技、云从科技。

商汤科技成立于2015年，到现在都没法盈利。甚至都没有一个自己的拳头产品。连创始人都没看到盈利的一天。难道商汤科技里面的人都是大傻子。

真相只有一个。就是：

你会写论文，和你会拿这个论文开一个公司，做一个产品，不是一回事。

汤晓鸥著作等身，职位一大堆。结果公司只能靠画饼让投资人持续输血活着。难道不是一个笑话吗？

人工智能专业能存在的唯一原因就是：

美国也在搞。

中国害怕万一这个技术方向爆发了，被美国人抢了先。造成中国大而不强的状况。才不得不维持这个专业的发展。

说句难听的，人工智能专业现在连美国人也没搞出来个子午卯酉。除了炒概念，炒公司市值以外，也没有什么。

但是这个东西又不能说的太细太明白。毕竟百万曹工，衣食所依。我们自己虽然搞过这个方向。但是现在毕竟已经不搞这个了。但是很多行业从业人员，还要靠这个骗投资人，骗到投资给自己发工资，来买房结婚娶媳妇。还有一些学术界的从业人员，还要靠这个写论文，评职称。

因此上，人工智能专业就是皇帝的新衣。大家都明明搞了这么多年。除了画画，扯闲白以外，啥有价值的东西都没搞出来。。

但是谁都不敢说。因为外行不能评论，因为你不是干这个。内行也不敢评论，因为不能砸掉自己的饭碗。","未知","57"
